PING 192.168.4.2 (192.168.4.2) 56(84) bytes of data.
64 bytes from 192.168.4.2: icmp_seq=313 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=314 ttl=255 time=20.1 ms
64 bytes from 192.168.4.2: icmp_seq=315 ttl=255 time=18.9 ms
64 bytes from 192.168.4.2: icmp_seq=316 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=317 ttl=255 time=21.0 ms
64 bytes from 192.168.4.2: icmp_seq=318 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=319 ttl=255 time=18.2 ms
64 bytes from 192.168.4.2: icmp_seq=320 ttl=255 time=16.9 ms
64 bytes from 192.168.4.2: icmp_seq=321 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=322 ttl=255 time=19.9 ms
64 bytes from 192.168.4.2: icmp_seq=323 ttl=255 time=19.1 ms
64 bytes from 192.168.4.2: icmp_seq=324 ttl=255 time=19.0 ms
64 bytes from 192.168.4.2: icmp_seq=325 ttl=255 time=19.0 ms
64 bytes from 192.168.4.2: icmp_seq=326 ttl=255 time=18.1 ms
64 bytes from 192.168.4.2: icmp_seq=327 ttl=255 time=18.1 ms
64 bytes from 192.168.4.2: icmp_seq=328 ttl=255 time=18.0 ms
64 bytes from 192.168.4.2: icmp_seq=329 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=330 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=331 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=332 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=333 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=334 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=335 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=336 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=337 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=338 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=339 ttl=255 time=17.1 ms
64 bytes from 192.168.4.2: icmp_seq=340 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=341 ttl=255 time=17.2 ms
64 bytes from 192.168.4.2: icmp_seq=342 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=343 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=344 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=345 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=346 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=347 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=348 ttl=255 time=17.0 ms
64 bytes from 192.168.4.2: icmp_seq=349 ttl=255 time=16.9 ms
64 bytes from 192.168.4.2: icmp_seq=350 ttl=255 time=26.5 ms
64 bytes from 192.168.4.2: icmp_seq=351 ttl=255 time=20.5 ms
64 bytes from 192.168.4.2: icmp_seq=352 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=353 ttl=255 time=20.0 ms
64 bytes from 192.168.4.2: icmp_seq=354 ttl=255 time=20.0 ms
